SAP Role Description	Business Process	Subprocess
Display CO Masterdata	Controlling (CO)	General Controlling (CO)
Maintain Profit Center Accounting (PCA) data	Controlling (CO)	Profit Center Accounting (PCA)
Maintain Profit Centers	Controlling (CO)	Profit Center Accounting (PCA)
Display Customizing CO	Controlling (CO)	General Controlling (CO)
Maintain PCA - Data Transports	Controlling (CO)	Profit Center Accounting (PCA)
Maintain Cost Centers	Controlling (CO)	Cost Center Accounting (CCA)
Maintain Cost Units and Product Groups	Controlling (CO)	Cost Center Accounting (CCA)
Maintain PCA - Transfer Bookings	Controlling (CO)	Profit Center Accounting (PCA)
Display PCA - Data	Controlling (CO)	Profit Center Accounting (PCA)
Maintain Profit Center Balance Transfers	Controlling (CO)	Profit Center Accounting (PCA)
Maintain PCA - Actual Distributions and Apportionments	Controlling (CO)	Profit Center Accounting (PCA)
Execute PCA - Actual Distributions	Controlling (CO)	Profit Center Accounting (PCA)
Maintain PCA - Plan Apportionments	Controlling (CO)	Profit Center Accounting (PCA)
Maintain Plan Costs/Revenues/Stocks	Controlling (CO)	Planning (CO-OM-PLN)
Maintain Statistical Key Figures	Controlling (CO)	Cost Center Accounting (CCA)
Maintain PCA - Transfer Prices	Controlling (CO)	Profit Center Accounting (PCA)
Display Condition Lists	Sales and Distribution (SD)	Pricing and Conditions
Maintain Profitability Reports	Controlling (CO)	Profitability Analysis (CO-PA)
Display Profitability Reports	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain Profit Center Documents	Controlling (CO)	Profit Center Accounting (PCA)
Display PCA - Transfer Prices	Controlling (CO)	Profit Center Accounting (PCA)
Display EC-EIS Reports	Controlling (CO)	Executive Information System (EC-EIS)
Maintain EC-EIS Administration	Controlling (CO)	Executive Information System (EC-EIS)
Closing Internal Orders	Controlling (CO)	Internal Orders (CO-OM-OPA)
Maintain Plan Interest Calculations CO Orders	Controlling (CO)	Internal Orders (CO-OM-OPA)
Maintain Product Cost Calculations	Controlling (CO)	Product Cost Controlling (CO-PC)
Display Product Cost Calculations	Controlling (CO)	Product Cost Controlling (CO-PC)
Maintain Acquisition Alternatives and Mix Ratios	Controlling (CO)	Product Cost Controlling (CO-PC)
Maintain CO Archiving	Controlling (CO)	General Controlling Settings
Closing Product Costs	Controlling (CO)	Product Cost Controlling (CO-PC)
Maintain Business Processes	Controlling (CO)	Activity-Based Costing (ABC)
Display ABC - Data	Controlling (CO)	Activity-Based Costing (ABC)
Maintain ABC - Planning	Controlling (CO)	Activity-Based Costing (ABC)
Maintain Settlement Plan Template	Controlling (CO)	Internal Orders (CO-OM-OPA)
Closing Periodic Transfer Postings	Controlling (CO)	Period-End Closing (CO)
Maintain ABC - Indirect Performance	Controlling (CO)	Activity-Based Costing (ABC)
Execute ABC - Actual Assessments	Controlling (CO)	Activity-Based Costing (ABC)
Maintain ABC - Assessment Processes	Controlling (CO)	Activity-Based Costing (ABC)
Maintain CCA Data	Controlling (CO)	Cost Center Accounting (CCA)
Maintain Process Template	Controlling (CO)	Activity-Based Costing (ABC)
Display Process Template	Controlling (CO)	Activity-Based Costing (ABC)
Maintain Actual Settlement Customer Orders	Controlling (CO)	Internal Orders (CO-OM-OPA)
Maintain Condition Lists	Sales and Distribution (SD)	Pricing and Conditions
Maintain Cost Elements	Controlling (CO)	Cost Element Accounting (CO-OM-CEL)
Maintain Internal Order Budget	Controlling (CO)	Internal Orders (CO-OM-OPA)
Display Internal Order Financial Reports	Controlling (CO)	Internal Orders (CO-OM-OPA)
Display Statistical Key Figures	Controlling (CO)	Cost Center Accounting (CCA)
Maintain Reconciliation Ledger	Controlling (CO)	Reconciliation Ledger (CO-FI Integration)
Display Reconciliation Ledger	Controlling (CO)	Reconciliation Ledger (CO-FI Integration)
Book CCA Costs/Revenues	Controlling (CO)	Cost Center Accounting (CCA)
Display CCA Data	Controlling (CO)	Cost Center Accounting (CCA)
Maintain ABC - Product Cost Prices	Controlling (CO)	Activity-Based Costing (ABC)
Maintain EC-EIS Plan Data & Planning	Controlling (CO)	Executive Information System (EC-EIS)
Maintain CO-PA Distributions	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain CO-PA Planning Data	Controlling (CO)	Profitability Analysis (CO-PA)
Display Profitability Data Analyses	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain Plan Structure and Planning Layout	Controlling (CO)	Planning (CO-OM-PLN)
Maintain CO-PA Authorization Objects	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain CO-PA Actual Data	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain Profitability Data Analyses	Controlling (CO)	Profitability Analysis (CO-PA)
Mass Maintain Profit Centers	Controlling (CO)	Profit Center Accounting (PCA)
Maintain Profit Center Reports	Controlling (CO)	Profit Center Accounting (PCA)
Maintain COPA - Result Areas	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain Features	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain COPA Aggregation Levels	Controlling (CO)	Profitability Analysis (CO-PA)
Maintain Indirect Settlement Actual Performance	Controlling (CO)	Internal Orders (CO-OM-OPA)
Maintain Business Organizations	Controlling (CO)	Profit Center Accounting (PCA)
Maintain Actual Transfer Cost Center Costs	Controlling (CO)	Cost Center Accounting (CCA)
Maintain Cost Object Controlling Data	Controlling (CO)	Cost Object Controlling (CO-PC-OBJ)
Display Cost Object Controlling Data	Controlling (CO)	Cost Object Controlling (CO-PC-OBJ)
Maintain Planning Product Costs	Controlling (CO)	Product Cost Controlling (CO-PC)
Maintain Work in Progress Orders (WIP)	Controlling (CO)	Cost Object Controlling (CO-PC-OBJ)
Maintain CO Production Order	Controlling (CO)	Cost Object Controlling (CO-PC-OBJ)
Display CO Production Order	Controlling (CO)	Cost Object Controlling (CO-PC-OBJ)
Display Internal Order General Reports	Controlling (CO)	Internal Orders (CO-OM-OPA)
Maintain Performance Types	Controlling (CO)	Activity-Based Costing (ABC)
Maintain Internal Orders	Controlling (CO)	Internal Orders (CO-OM-OPA)
Maintain Periodic Transfer Postings	Controlling (CO)	Period-End Closing (CO)
Maintain Cost Center Accounting Data	Controlling (CO)	Cost Center Accounting (CCA)
Maintain CC Manual Funds Reservation	Controlling (CO)	Cost Center Accounting (CCA)
Execute Periodic Transfer Postings	Controlling (CO)	Period-End Closing (CO)
Maintain CCA Planomslagen en verdelingen	Controlling (CO)	Cost Center Accounting (CCA)
Execute CCA Planomslagen en verdelingen	Controlling (CO)	Cost Center Accounting (CCA)
Maintain ABC - Proces Kengetallen	Controlling (CO)	Activity-Based Costing (ABC)
Maintain Functiegebieden	Controlling (CO)	Profit Center Accounting (PCA)
Maintain Periodeblokkering	Controlling (CO)	Period-End Closing (CO)
Display CCA Reports	Controlling (CO)	Cost Center Accounting (CCA)
Display Profit Center Accounting Reports	Controlling (CO)	Profit Center Accounting (PCA)
Display CO Reports	Controlling (CO)	General Controlling Reporting
Display ABC - Reports	Controlling (CO)	Activity-Based Costing (ABC)
Display Cost Object Controlling Reports	Controlling (CO)	Cost Object Controlling (CO-PC-OBJ)
